id;id_campagne;statut;fichier;date_debut;date_fin
1;37454;Directives application Home Loan Account;Dam;2019-05-22T22:40:58;2019-05-22T23:41:18
2;45924;seamless Metal deposit;Producer;2019-05-22T05:06:14;2019-05-22T02:33:26
3;21233;Chips;Money Market Account;2019-05-22T10:24:10;2019-05-22T12:29:18
4;706;Home Namibia;Steel zero administration;2019-05-22T16:17:23;2019-05-22T19:29:45
5;45606;bluetooth;syndicate;2019-05-22T01:29:06;2019-05-22T10:51:52
6;46676;HDD;Table Small Frozen Sausages Planner;2019-05-22T05:40:51;2019-05-22T15:49:57
7;30461;Intelligent;Monitored Bahamian Dollar Investment Account;2019-05-22T05:05:09;2019-05-23T00:15:25
8;17336;incentivize Tuna copy;Costa Rica Mayotte;2019-05-22T20:38:45;2019-05-23T00:19:51
9;96958;connect Markets Chief;capacitor archive;2019-05-22T11:23:30;2019-05-22T20:22:43
10;52083;Tactics;scale interactive generating;2019-05-22T16:31:13;2019-05-22T01:54:59
