id;max_envoi;envoi_en_cours;debut_horaire;fin_horaire
1;69189;44842;2019-05-22T09:26:08;2019-05-22T01:12:56
2;22426;17592;2019-05-22T07:59:25;2019-05-23T00:38:55
3;23724;49389;2019-05-22T17:16:22;2019-05-22T20:47:26
4;74649;36646;2019-05-22T09:29:29;2019-05-22T07:13:21
5;84922;72093;2019-05-22T09:17:59;2019-05-22T17:41:20
6;56830;54254;2019-05-22T22:50:03;2019-05-22T12:52:15
7;36771;63633;2019-05-22T18:43:03;2019-05-22T19:04:17
8;24398;58987;2019-05-22T01:43:49;2019-05-22T01:35:21
9;39309;48674;2019-05-22T03:40:24;2019-05-22T03:20:10
10;63113;43439;2019-05-22T06:00:26;2019-05-22T16:40:50
